Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,558.00,558.00,552.51,555.19,1424900,555.19
2014-11-13,560.81,560.82,554.09,556.44,1510200,556.44
2014-11-12,561.15,561.25,555.50,558.25,1094000,558.25
2014-11-11,558.52,562.50,556.24,561.29,1098300,561.29
2014-11-10,552.40,560.63,551.62,558.23,1298900,558.23
2014-11-07,555.60,555.60,549.35,551.82,1589100,551.82
2014-11-06,555.50,556.80,550.58,551.69,1649900,551.69
2014-11-05,566.79,566.90,554.15,555.95,1645200,555.95
2014-11-04,561.16,564.79,558.30,564.19,1386300,564.19
2014-11-03,563.53,567.15,561.63,563.77,1541700,563.77
2014-10-31,568.30,568.73,564.81,567.87,2340500,567.87
2014-10-30,558.25,562.50,552.13,560.27,1611200,560.27
2014-10-29,560.85,564.97,555.98,558.45,2053300,558.45
2014-10-28,551.71,559.20,550.43,558.94,1738700,558.94
2014-10-27,547.76,554.00,547.20,549.88,1596700,549.88
2014-10-24,554.98,555.00,545.16,548.90,2175400,548.90
2014-10-23,548.28,557.40,545.50,553.65,2151300,553.65
2014-10-22,541.05,550.76,540.23,542.69,2973700,542.69
2014-10-21,537.27,538.77,530.20,538.03,2459500,538.03
2014-10-20,520.45,533.16,519.14,532.38,2748200,532.38
2014-10-17,540.45,543.45,518.41,522.97,5996500,522.97
2014-10-16,527.00,540.99,524.95,536.92,3794400,536.92
2014-10-15,542.08,543.92,528.42,540.73,3836000,540.73
2014-10-14,550.14,558.63,544.50,548.69,2609900,548.69
2014-10-13,555.13,560.88,544.43,544.75,2755800,544.75
2014-10-10,567.47,575.23,555.01,555.19,2978700,555.19
2014-10-09,581.61,582.53,569.03,570.81,2411700,570.81
2014-10-08,574.79,584.69,567.64,583.74,2207900,583.74
2014-10-07,584.90,585.85,574.10,574.10,1545700,574.10
2014-10-06,589.95,592.40,585.40,587.78,1286100,587.78
2014-10-03,584.10,588.29,583.50,586.25,1214500,586.25
2014-10-02,578.00,583.24,574.05,580.88,1536300,580.88
2014-10-01,586.80,588.72,578.02,579.63,1447700,579.63
2014-09-30,587.49,591.00,584.50,588.41,1571500,588.41
2014-09-29,581.83,589.31,581.57,587.81,1143700,587.81
2014-09-26,585.93,589.57,585.00,587.90,1289100,587.90
2014-09-25,596.99,598.07,584.74,585.25,1671000,585.25
2014-09-24,591.57,600.11,590.30,598.42,1758000,598.42
2014-09-23,595.00,596.65,590.24,591.18,1403700,591.18
2014-09-22,602.50,603.80,593.12,597.27,1782200,597.27
2014-09-19,599.49,605.40,597.76,605.40,4191600,605.40
2014-09-18,595.05,597.56,593.02,597.27,1494500,597.27
2014-09-17,589.51,596.07,587.12,593.29,1719500,593.29
2014-09-16,580.95,590.15,580.95,588.78,1579600,588.78
2014-09-15,582.24,583.92,577.01,581.64,1545400,581.64
2014-09-12,590.39,591.48,583.28,584.90,1851500,584.90
2014-09-11,590.00,591.95,586.04,591.11,1501400,591.11
2014-09-10,591.74,593.72,587.14,593.42,1160100,593.42
2014-09-09,600.27,600.60,590.48,591.97,1571200,591.97
2014-09-08,599.14,603.52,598.02,601.63,1599200,601.63
2014-09-05,595.13,598.50,593.55,597.78,1799100,597.78
2014-09-04,592.13,598.00,590.60,593.14,1630800,593.14
2014-09-03,591.73,594.49,586.50,589.52,1579000,589.52
2014-09-02,582.95,589.30,582.40,588.63,1583000,588.63
2014-08-29,582.35,582.90,578.24,582.36,1206100,582.36
2014-08-28,580.02,584.71,577.88,580.32,1405800,580.32
2014-08-27,587.81,589.37,580.90,583.00,1364600,583.00
2014-08-26,592.00,592.05,587.45,588.12,1471700,588.12
2014-08-25,594.77,595.58,589.26,590.57,1295600,590.57
2014-08-22,593.27,594.99,589.80,592.54,877200,592.54
2014-08-21,594.90,595.25,591.10,592.42,1132000,592.42
2014-08-20,596.95,596.99,593.00,595.41,967300,595.41
2014-08-19,595.59,597.81,594.44,597.11,1043200,597.11
2014-08-18,587.10,595.05,586.55,592.70,1466000,592.70
2014-08-15,587.50,589.47,580.76,583.71,1723400,583.71
2014-08-14,586.69,587.80,580.92,584.65,1272900,584.65
2014-08-13,576.45,586.13,575.20,584.56,1899400,584.56
2014-08-12,575.00,575.90,569.91,572.12,1394500,572.12
2014-08-11,579.00,579.69,575.30,577.25,1203400,577.25
2014-08-08,572.02,579.56,569.02,577.94,1493300,577.94
2014-08-07,576.05,578.31,569.43,571.81,1163000,571.81
2014-08-06,569.50,578.64,567.45,574.49,1322800,574.49
2014-08-05,579.38,580.20,570.31,573.14,1643800,573.14
2014-08-04,576.51,583.82,572.26,582.27,1519400,582.27
2014-08-01,578.55,583.43,570.30,573.60,2213300,573.60
2014-07-31,588.96,591.99,577.68,579.55,2309500,579.55
2014-07-30,595.81,598.45,592.70,595.44,1215100,595.44
2014-07-29,597.70,598.49,592.17,593.95,1366600,593.95
2014-07-28,597.75,601.10,592.59,599.02,1358100,599.02
2014-07-25,599.25,601.00,595.75,598.08,1360000,598.08
2014-07-24,605.53,608.91,601.00,603.01,1355000,603.01
2014-07-23,602.05,607.05,601.35,605.19,1106000,605.19
2014-07-22,599.70,608.89,599.26,603.57,1881600,603.57
2014-07-21,601.35,604.16,594.45,598.44,2237900,598.44
2014-07-18,603.01,606.70,590.92,605.11,4871600,605.11
2014-07-17,588.97,589.50,576.85,580.82,2935300,580.82
2014-07-16,596.89,597.00,590.25,590.62,1440800,590.62
2014-07-15,595.15,595.30,585.31,593.06,1673800,593.06
2014-07-14,590.60,594.86,586.69,594.26,1951600,594.26
2014-07-11,581.00,588.23,580.58,586.65,1511600,586.65
2014-07-10,573.00,585.25,572.10,580.04,1436200,580.04
2014-07-09,578.95,584.10,577.00,583.36,1372800,583.36
2014-07-08,586.37,587.97,574.00,578.40,2125200,578.40
2014-07-07,593.51,595.65,587.94,590.76,1336700,590.76
2014-07-03,591.70,594.25,589.00,593.08,898900,593.08
2014-07-02,592.26,594.15,589.11,590.78,1195800,590.78
2014-07-01,587.65,593.66,586.29,591.49,1643200,591.49
2014-06-30,586.76,587.71,583.29,584.67,1478900,584.67
2014-06-27,585.45,587.88,582.62,585.69,2021300,585.69
2014-06-26,589.30,589.60,579.60,584.77,2012400,584.77
2014-06-25,573.55,587.30,573.26,585.93,2114700,585.93
2014-06-24,574.22,582.25,569.16,572.54,2844300,572.54
2014-06-23,564.35,574.44,563.50,574.29,1722800,574.29
2014-06-20,566.45,566.77,559.37,566.52,3160600,566.52
2014-06-19,561.15,565.00,556.67,564.99,2627400,564.99
2014-06-18,552.80,561.40,551.58,560.66,2060600,560.66
2014-06-17,552.36,553.74,547.47,550.62,1477600,550.62
2014-06-16,557.25,557.99,550.00,552.30,1971800,552.30
2014-06-13,560.08,560.65,553.72,560.35,1353300,560.35
2014-06-12,567.00,567.00,557.15,559.50,1546500,559.50
2014-06-11,565.92,568.97,563.68,567.50,1129000,567.50
2014-06-10,568.78,572.00,566.13,568.30,1483800,568.30
2014-06-09,566.75,572.00,565.22,570.73,1529700,570.73
2014-06-06,568.16,568.80,559.58,566.03,1740200,566.03
2014-06-05,557.11,565.00,555.05,564.93,1793400,564.93
2014-06-04,551.52,558.58,548.56,553.76,1729100,553.76
2014-06-03,560.90,562.40,552.53,554.51,2031300,554.51
2014-06-02,569.75,570.41,556.70,564.34,1660500,564.34
2014-05-30,571.64,572.58,565.79,571.65,1871700,571.65
2014-05-29,573.39,573.48,568.45,570.56,1411100,570.56
2014-05-28,574.57,577.66,569.95,570.45,1581600,570.45
2014-05-27,567.78,574.87,564.15,574.87,2185800,574.87
2014-05-23,558.13,565.00,554.17,563.80,2672500,563.80
2014-05-22,552.20,557.96,551.00,555.45,2149700,555.45
2014-05-21,542.90,549.75,542.11,549.70,1564700,549.70
2014-05-20,540.00,546.35,536.57,540.39,2425300,540.39
2014-05-19,528.88,539.35,525.66,538.83,1976500,538.83
2014-05-16,529.60,530.84,523.57,528.30,1907700,528.30
2014-05-15,533.14,534.00,525.31,529.12,1832900,529.12
2014-05-14,541.82,541.82,533.11,534.41,1280900,534.41
2014-05-13,539.58,543.99,537.90,541.54,2012000,541.54
2014-05-12,531.84,538.75,527.51,538.43,1948400,538.43
2014-05-09,518.65,527.35,514.28,526.62,2261200,526.62
2014-05-08,515.72,527.35,514.46,520.17,2452000,520.17
2014-05-07,523.25,524.43,511.09,518.00,3074300,518.00
2014-05-06,533.41,534.55,522.26,522.57,1835000,522.57
2014-05-05,530.24,535.72,527.58,535.33,1228400,535.33
2014-05-02,541.44,542.40,533.27,533.87,1780800,533.87
2014-05-01,534.25,539.91,532.86,538.53,2004300,538.53
2014-04-30,535.12,536.34,529.09,534.88,2038500,534.88
2014-04-29,523.89,537.76,523.00,536.33,2535200,536.33
2014-04-28,525.80,525.90,511.00,522.98,3752800,522.98
2014-04-25,532.26,533.86,522.50,523.10,2370000,523.10
2014-04-24,541.69,542.50,531.00,534.44,2067400,534.44
2014-04-23,543.67,544.80,528.13,537.51,1955700,537.51
2014-04-22,536.00,548.00,536.00,545.50,2331100,545.50
2014-04-21,544.00,544.00,534.00,539.37,2425100,539.37
2014-04-17,556.32,557.00,539.40,543.34,5614700,543.34
2014-04-16,557.70,564.00,553.10,563.90,4582200,563.90
2014-04-15,551.00,552.89,530.64,548.70,3997800,548.70
2014-04-14,543.66,553.02,540.52,545.20,2541200,545.20
