Date,Open,High,Low,Close,Volume,Adj Close
2014-11-14,250.00,258.85,248.50,258.68,6098000,258.68
2014-11-13,250.62,255.75,250.25,251.70,6233800,251.70
2014-11-12,249.72,252.34,245.58,249.10,5867400,249.10
2014-11-11,242.55,251.82,242.00,251.08,7948800,251.08
2014-11-10,239.11,242.88,236.80,241.93,4574200,241.93
2014-11-07,242.19,242.84,237.20,240.20,5159300,240.20
2014-11-06,234.49,246.69,228.50,241.22,15347700,241.22
2014-11-05,241.00,241.36,230.53,230.97,8886400,230.97
2014-11-04,240.49,242.35,236.53,238.93,3679200,238.93
2014-11-03,243.00,247.56,241.32,242.59,4203800,242.59
2014-10-31,242.51,243.12,238.75,241.70,3767100,241.70
2014-10-30,238.14,240.50,235.06,238.66,3226700,238.66
2014-10-29,241.13,241.50,235.64,238.10,4962500,238.10
2014-10-28,229.60,244.60,228.25,242.77,10484800,242.77
2014-10-27,234.25,234.61,220.31,221.67,9539800,221.67
2014-10-24,236.27,237.80,231.20,235.24,3463300,235.24
2014-10-23,234.66,236.28,232.00,235.29,3492400,235.29
2014-10-22,233.19,237.39,230.56,231.10,4116600,231.10
2014-10-21,234.27,235.39,230.80,235.34,4118900,235.34
2014-10-20,226.72,232.40,225.51,230.47,3494400,230.47
2014-10-17,233.38,234.77,226.55,227.48,10549400,227.48
2014-10-16,219.72,229.92,219.10,226.35,5399300,226.35
2014-10-15,220.00,230.99,217.32,229.70,9147300,229.70
2014-10-14,228.25,232.47,223.00,227.06,7105300,227.06
2014-10-13,238.57,238.96,221.00,224.59,11268700,224.59
2014-10-10,244.64,245.89,235.20,236.91,12888300,236.91
2014-10-09,262.25,265.54,254.40,257.01,7350800,257.01
2014-10-08,260.10,262.88,252.64,259.28,5055100,259.28
2014-10-07,258.53,261.46,255.73,259.57,4485500,259.57
2014-10-06,259.13,262.49,257.80,260.62,7713300,260.62
2014-10-03,253.06,256.50,251.03,255.21,5406300,255.21
2014-10-02,250.20,252.79,245.36,251.42,8998200,251.42
2014-10-01,242.20,242.66,235.65,240.24,5941700,240.24
2014-09-30,246.92,247.65,240.12,242.68,4238300,242.68
2014-09-29,244.00,248.64,241.38,245.26,4852700,245.26
2014-09-26,248.25,249.73,246.07,246.60,3795400,246.60
2014-09-25,252.52,254.96,246.10,246.95,4834200,246.95
2014-09-24,251.12,252.84,247.04,252.14,3749500,252.14
2014-09-23,245.22,253.80,245.00,250.41,5658700,250.41
2014-09-22,255.00,256.02,244.71,250.03,8214100,250.03
2014-09-19,257.99,261.43,255.27,259.32,6810900,259.32
2014-09-18,263.36,265.60,262.32,263.82,3692600,263.82
2014-09-17,262.41,264.70,259.50,261.38,5177700,261.38
2014-09-16,255.15,262.46,252.42,260.74,8300100,260.74
2014-09-15,274.37,274.40,249.13,253.86,16455400,253.86
2014-09-12,280.50,282.39,277.00,279.20,3324600,279.20
2014-09-11,280.46,284.79,278.63,280.31,3766100,280.31
2014-09-10,279.50,281.41,273.66,281.10,3781300,281.10
2014-09-09,282.99,285.49,277.00,278.48,4558800,278.48
2014-09-08,277.62,284.88,277.52,282.11,5501600,282.11
2014-09-05,282.55,282.90,272.51,277.39,11169900,277.39
2014-09-04,284.01,291.42,280.40,286.04,8315700,286.04
2014-09-03,287.67,288.00,280.10,281.19,6772300,281.19
2014-09-02,275.50,284.89,274.30,284.12,9804100,284.12
2014-08-29,268.70,272.00,267.51,269.70,6447100,269.70
2014-08-28,261.89,264.48,261.64,263.86,2844900,263.86
2014-08-27,263.50,264.24,260.29,263.25,2985100,263.25
2014-08-26,264.98,265.50,261.66,261.74,3818000,261.74
2014-08-25,258.19,263.68,258.19,262.55,4308000,262.55
2014-08-22,254.54,256.95,252.61,256.78,2833400,256.78
2014-08-21,256.52,258.80,253.26,254.34,2915600,254.34
2014-08-20,254.67,258.74,253.00,255.71,3015500,255.71
2014-08-19,258.87,259.33,251.62,256.76,5334800,256.76
2014-08-18,263.25,267.26,259.75,259.94,5836800,259.94
2014-08-15,261.48,262.09,258.50,262.01,3857500,262.01
2014-08-14,262.49,263.00,256.50,261.38,4122800,261.38
2014-08-13,262.01,265.64,259.61,260.31,6919000,260.31
2014-08-12,258.08,260.30,254.58,259.96,6382300,259.96
2014-08-11,255.48,263.74,255.00,259.32,8101300,259.32
2014-08-08,251.16,251.76,246.50,248.13,5090100,248.13
2014-08-07,250.12,256.69,249.12,252.39,7478900,252.39
2014-08-06,238.90,251.42,238.58,248.93,9249300,248.93
2014-08-05,237.47,242.99,235.69,238.49,5388600,238.49
2014-08-04,234.38,240.50,233.27,238.52,5959700,238.52
2014-08-01,226.09,237.50,226.00,233.27,11895800,233.27
2014-07-31,229.26,231.40,221.50,223.30,7749100,223.30
2014-07-30,221.92,229.60,221.04,228.92,4927800,228.92
2014-07-29,226.61,228.30,224.86,225.01,3382400,225.01
2014-07-28,224.25,232.00,221.40,224.82,6514300,224.82
2014-07-25,222.72,226.97,221.75,223.57,3087100,223.57
2014-07-24,223.25,225.10,220.80,223.54,3245500,223.54
2014-07-23,220.01,224.75,219.43,222.49,3083300,222.49
2014-07-22,222.19,223.30,219.11,219.58,2730000,219.58
2014-07-21,217.25,223.21,216.72,220.54,3822200,220.54
2014-07-18,215.95,221.21,215.93,220.02,4253700,220.02
2014-07-17,216.16,220.55,213.60,215.40,4649400,215.40
2014-07-16,221.82,224.80,216.82,217.16,4044500,217.16
2014-07-15,226.73,227.65,218.10,219.58,5718500,219.58
2014-07-14,219.99,228.79,215.45,226.70,7203200,226.70
2014-07-11,220.61,221.60,217.60,218.13,3302300,218.13
2014-07-10,217.18,222.22,216.04,219.46,4863900,219.46
2014-07-09,221.27,224.22,219.21,223.06,4115400,223.06
2014-07-08,218.65,220.96,214.27,219.07,7836200,219.07
